Feature,Duration,ATE,Normalized_ATE,Sum_Normalized_ATE,Type
2.5V_PCU_ELB,10,0.1847859202202824,0.0025293365992795597,1.0,IBS_N
Radial Distance from Sun,10,0.0406534196167405,0.0005564611308042992,1.0,IBS_N
Electronic Box Temperature,10,0.4994637854824195,0.006836624950263582,1.0,IBS_N
Outboard Sensor Temperature,10,1.2995007319350576,0.017787474057307233,1.0,IBS_N
Inboard Sensor Temperature,10,0.5073998415693244,0.006945253124372383,1.0,IBS_N
Solar Array's Angle,10,59.70888451308279,0.8172909858124578,1.0,IBS_N
High Gain Antenna Azimuth,10,7.624127808449407,0.10435852190744727,1.0,IBS_N
High Gain Antenna Elevation,10,2.222156038037564,0.0304167145939377,1.0,IBS_N
Heater Dutycycle,10,0.1495178988932403,0.0020465904191576153,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,10,0.8205797395323569,0.01123203740497251,1.0,IBS_N
2.5V_PCU_ELB,20,0.2457493883121678,0.008451112924078338,1.0,IBS_N
Radial Distance from Sun,20,0.0065833900329027,0.00022639719664587163,1.0,IBS_N
Electronic Box Temperature,20,0.4327125370833612,0.014880616955638854,1.0,IBS_N
Outboard Sensor Temperature,20,0.0704009881687523,0.0024210302416910233,1.0,IBS_N
Inboard Sensor Temperature,20,0.7617313398277439,0.026195294380616838,1.0,IBS_N
Solar Array's Angle,20,22.59661577198949,0.7770784411821767,1.0,IBS_N
High Gain Antenna Azimuth,20,1.1534166937283614,0.039665021321775656,1.0,IBS_N
High Gain Antenna Elevation,20,2.826762008598954,0.09720994671945407,1.0,IBS_N
Heater Dutycycle,20,0.006730433549842,0.0002314538984140531,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,20,0.9782353968685183,0.03364068517950856,1.0,IBS_N
2.5V_PCU_ELB,30,0.2187093348563266,0.006207443529860715,0.9999999999999999,IBS_N
Radial Distance from Sun,30,0.0038363947890085,0.00010888517413610206,0.9999999999999999,IBS_N
Electronic Box Temperature,30,0.2266059084209427,0.006431565351245,0.9999999999999999,IBS_N
Outboard Sensor Temperature,30,0.1267363166704624,0.0035970505302448156,0.9999999999999999,IBS_N
Inboard Sensor Temperature,30,0.5913526532422383,0.016783866146572547,0.9999999999999999,IBS_N
Solar Array's Angle,30,23.76739292896216,0.6745699700264794,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,30,4.761119008886006,0.1351308457227992,0.9999999999999999,IBS_N
High Gain Antenna Elevation,30,4.3212084983523145,0.1226452348359848,0.9999999999999999,IBS_N
Heater Dutycycle,30,0.0564782573267499,0.0016029749861890764,0.9999999999999999,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,30,1.1599597305159206,0.03292216369648817,0.9999999999999999,IBS_N
2.5V_PCU_ELB,40,0.5569693376782441,0.021775076868730443,1.0000000000000002,IBS_N
Radial Distance from Sun,40,0.0685993137302719,0.002681934585206474,1.0000000000000002,IBS_N
Electronic Box Temperature,40,0.0227150116846666,0.0008880580887443096,1.0000000000000002,IBS_N
Outboard Sensor Temperature,40,0.1333091166053927,0.005211806225250241,1.0000000000000002,IBS_N
Inboard Sensor Temperature,40,3.0467692554709607,0.1191154166865302,1.0000000000000002,IBS_N
Solar Array's Angle,40,16.455211852563508,0.6433271613738438,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,40,0.4298389729942548,0.016804832950307044,1.0000000000000002,IBS_N
High Gain Antenna Elevation,40,3.747919625615268,0.1465273443701526,1.0000000000000002,IBS_N
Heater Dutycycle,40,0.1014454559578862,0.003966075781971483,1.0000000000000002,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,40,1.015516960440677,0.039702293069263504,1.0000000000000002,IBS_N
2.5V_PCU_ELB,50,0.6605928278684242,0.010016410408016558,1.0000000000000002,IBS_N
Radial Distance from Sun,50,0.1701651202542218,0.0025801728533681035,1.0000000000000002,IBS_N
Electronic Box Temperature,50,0.8811935139751922,0.013361325634337383,1.0000000000000002,IBS_N
Outboard Sensor Temperature,50,0.2402075503123361,0.003642209399693741,1.0000000000000002,IBS_N
Inboard Sensor Temperature,50,1.525664143637771,0.02313327902269447,1.0000000000000002,IBS_N
Solar Array's Angle,50,53.89781281094135,0.8172395921264378,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,50,5.813241675486127,0.08814478747906203,1.0000000000000002,IBS_N
High Gain Antenna Elevation,50,1.582071631282141,0.023988572211623354,1.0000000000000002,IBS_N
Heater Dutycycle,50,0.1767256073525387,0.0026796479437430297,1.0000000000000002,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,50,1.0033795345240504,0.015214002921023692,1.0000000000000002,IBS_N
2.5V_PCU_ELB,60,0.272598742350181,0.00402866183429388,0.9999999999999999,IBS_N
Radial Distance from Sun,60,0.2429288597512365,0.003590178800132264,0.9999999999999999,IBS_N
Electronic Box Temperature,60,0.5767069055168683,0.00852299273209758,0.9999999999999999,IBS_N
Outboard Sensor Temperature,60,0.7520239168723317,0.011113954621580243,0.9999999999999999,IBS_N
Inboard Sensor Temperature,60,0.8440598101547225,0.012474127773720489,0.9999999999999999,IBS_N
Solar Array's Angle,60,56.13624606529682,0.8296221401978199,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,60,2.290842458704468,0.03385573059580373,0.9999999999999999,IBS_N
High Gain Antenna Elevation,60,5.0459935797855415,0.07457335120372562,0.9999999999999999,IBS_N
Heater Dutycycle,60,0.2110721514033989,0.0031193772697191164,0.9999999999999999,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,60,1.2923635184119442,0.019099484971107014,0.9999999999999999,IBS_N
2.5V_PCU_ELB,70,1.4757887550668851,0.023245338196629228,0.9999999999999999,IBS_N
Radial Distance from Sun,70,0.1489960102992804,0.002346855291764474,0.9999999999999999,IBS_N
Electronic Box Temperature,70,1.2547107374703534,0.01976310995140939,0.9999999999999999,IBS_N
Outboard Sensor Temperature,70,1.456718094367623,0.022944953770968373,0.9999999999999999,IBS_N
Inboard Sensor Temperature,70,0.094530170230117,0.0014889568505245948,0.9999999999999999,IBS_N
Solar Array's Angle,70,42.54200210292894,0.670084538216634,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,70,8.254473826065986,0.1300172772446905,0.9999999999999999,IBS_N
High Gain Antenna Elevation,70,6.96892464318314,0.10976842697942489,0.9999999999999999,IBS_N
Heater Dutycycle,70,0.2823940807736145,0.00444802543031397,0.9999999999999999,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,70,1.008976477585609,0.01589251806764051,0.9999999999999999,IBS_N
2.5V_PCU_ELB,80,0.9999030590137692,0.05171217875431612,1.0000000000000002,IBS_N
